West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,,
Age Composition Estimates,,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Length (cm),Age,Female Numbers,Male Numbers,Unsexed Numbers,Lengthed Age Tally: Full Stratum,Age Tally: Female,Age Tally: Male,Age Tally: Unsexed
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,50,3,53099,55217,0,75,2,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,51,3,29013,21773,0,75,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,52,3,65301,0,0,75,3,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,3,85181,26378,0,75,3,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,54,3,40923,28618,0,75,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,3,52001,0,0,75,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,56,3,24860,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,57,3,24860,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,58,3,26378,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,47,4,24860,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,48,4,26378,26255,0,75,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,49,4,22104,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,50,4,26378,21251,0,75,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,51,4,0,45053,0,75,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,52,4,0,54873,0,75,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,4,24860,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,56,4,0,23280,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,58,4,40923,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,60,4,22443,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,62,4,27141,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,47,5,0,22443,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,5,0,28618,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,57,5,26378,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,58,5,0,28618,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,62,5,28618,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,6,0,23280,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,59,6,28618,28271,0,75,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,62,7,34066,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,54,8,28618,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,8,27141,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,56,8,0,23280,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,61,8,0,23280,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,65,8,26378,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,66,8,26255,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,68,8,40923,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,69,8,23280,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,73,8,23280,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,50,9,0,57236,0,75,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,9,0,28618,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,65,9,24860,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,10,0,28618,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,65,10,28618,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,11,0,57631,0,75,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,12,0,28618,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,56,12,28618,0,0,75,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,57,17,0,23280,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,43,1,20991,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,45,1,0,20327,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,42,2,0,18240,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,43,2,0,24681,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,44,2,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,46,2,20991,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,2,0,23328,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,57,2,16899,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,42,3,19764,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,43,3,24681,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,45,3,0,35128,0,58,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,46,3,15102,17259,0,58,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,3,32000,19764,0,58,2,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,48,3,19764,16899,0,58,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,49,3,20327,20339,0,58,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,3,20339,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,51,3,46122,0,0,58,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,3,0,20339,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,54,3,15102,22794,0,58,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,55,3,16899,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,60,3,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,43,4,0,42558,0,58,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,44,4,20339,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,45,4,20991,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,46,4,17682,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,4,0,45019,0,58,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,48,4,20327,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,4,0,20339,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,51,4,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,4,16899,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,55,4,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,5,0,17259,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,48,5,0,15102,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,59,5,20339,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,6,0,16899,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,6,20339,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,64,6,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,7,0,20339,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,55,7,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,44,8,0,20339,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,8,0,19764,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,8,0,16899,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,9,0,15102,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,9,16899,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,69,10,15102,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,64,11,20327,0,0,58,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,70,21,0,16899,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,53,41,0,19764,0,58,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,45,4,0,16866,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,5,27839,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,7,0,46843,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,7,0,23172,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,70,7,46843,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,74,7,23172,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,47,8,0,16866,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,82,8,43030,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,60,9,0,23172,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,10,0,67877,0,62,0,3,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,10,24146,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,56,10,0,16866,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,59,10,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,64,11,24146,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,49,12,0,46843,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,12,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,57,12,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,61,12,46843,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,76,12,43030,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,51,13,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,13,24146,24146,0,62,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,13,0,23172,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,59,15,0,46843,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,66,15,21600,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,16,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,16,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,58,16,0,23172,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,17,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,18,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,18,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,18,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,58,18,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,49,19,0,16866,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,19,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,20,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,50,21,0,16866,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,21,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,61,21,43030,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,22,0,27839,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,77,22,24146,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,24,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,24,0,45746,0,62,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,25,0,23172,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,56,25,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,58,25,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,51,26,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,59,26,23172,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,30,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,69,30,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,31,0,24146,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,51,33,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,63,33,46843,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,34,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,58,35,0,46843,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,49,36,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,39,0,43030,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,51,40,0,21600,0,62,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,45,21600,0,0,62,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,48,3,25213,12129,0,114,2,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,50,3,0,13246,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,52,3,13246,34494,0,114,1,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,53,3,10717,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,50,4,13106,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,51,4,0,12331,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,53,4,0,13106,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,57,4,12331,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,60,4,21381,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,48,5,21381,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,52,5,0,12331,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,55,5,0,12098,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,44,6,0,12129,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,52,6,0,41011,0,114,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,56,6,0,34006,0,114,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,59,6,13113,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,50,7,0,33712,0,114,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,55,7,0,19629,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,47,8,0,12100,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,51,8,12331,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,55,8,0,12129,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,56,8,0,19629,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,57,8,0,12331,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,60,8,0,12098,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,64,8,13497,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,72,8,12098,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,56,9,26603,0,0,114,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,63,9,0,19629,0,114,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,68,9,19629,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,76,9,12098,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,77,9,19629,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,53,10,14377,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,54,10,34487,0,0,114,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,56,10,10717,21381,0,114,1,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,58,10,21381,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,69,10,12098,0,0,114,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,74,10,12098,0,0,114,1,0,0
