SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013,2014
Sablefish,Brookings and Crescent City,Trawl,674062.4,564763.8,352144,411267.4,329949,315249
Sablefish,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Sablefish,Coos Bay,Trawl,-999,871273.8,529258.8,561112.2,360645,-999
Sablefish,Eureka,Trawl,713625,744093,-999,-999,-999,-999
Sablefish,Fort Bragg,Fixed gear,0,0,-999,-999,-999,-999
Sablefish,Fort Bragg,Trawl,600074,499568,323146.2448,253731.8,293572.8,322815.6
Sablefish,Monterey and Morro Bay,Fixed gear,107015,390097,1002311.6,471151.8,177143.6,345092
Sablefish,Monterey and Morro Bay,Trawl,89107,-999,129427,106544,75894,82591
Sablefish,Newport,Fixed gear,0,0,554624.2,-999,375848,-999
Sablefish,Newport,Trawl,-999,-999,232815,-999,361177,439097.4
Sablefish,San Francisco and Bodega Bay,Fixed gear,0,0,116964,-999,-999,-999
Sablefish,San Francisco and Bodega Bay,Trawl,116604,64931,36266,-999,-999,-999
Sablefish,Washington,Fixed gear,0,0,554221.04,447660.6,-999,411360.6
Sablefish,Washington,Trawl,425302,225087.5363,407923.4,224042,119971.7112,-999
"Sharks, skates and rays",Astoria and Tillamook,Fixed gear,0,0,-999,-999,0,0
"Sharks, skates and rays",Astoria and Tillamook,Trawl,-999,502873.4,673256,481452,-999,-999
"Sharks, skates and rays",Brookings and Crescent City,Trawl,78785.569,82230,99263,-999,100187,119351
"Sharks, skates and rays",Coos Bay,Fixed gear,0,0,-999,-999,0,0
"Sharks, skates and rays",Coos Bay,Trawl,367649,438574,235827,208201,-999,-999
"Sharks, skates and rays",Eureka,Trawl,-999,-999,-999,-999,-999,-999
"Sharks, skates and rays",Fort Bragg,Fixed gear,0,0,0,0,0,-999
"Sharks, skates and rays",Fort Bragg,Trawl,58322.1376,-999,87291.7717,88385,79854,83568
"Sharks, skates and rays",Monterey and Morro Bay,Fixed gear,0,-999,-999,-999,-999,-999
"Sharks, skates and rays",Monterey and Morro Bay,Trawl,-999,-999,27735,45693,31399,33076
"Sharks, skates and rays",Newport,Fixed gear,0,0,0,-999,-999,0
"Sharks, skates and rays",Newport,Trawl,550715,-999,-999,-999,192148,153520
"Sharks, skates and rays",San Francisco and Bodega Bay,Trawl,-999,55736,25566,-999,-999,-999
"Sharks, skates and rays",Washington,Fixed gear,0,0,-999,-999,-999,-999
"Sharks, skates and rays",Washington,Trawl,182314.54,133435,154579,152614,83007.0249,-999
Thornyheads,Astoria and Tillamook,Fixed gear,0,0,678,8624,1770,168
Thornyheads,Astoria and Tillamook,Trawl,1193613.992,1299758.98,672615.9931,485429.3045,591893.8245,373397.048
Thornyheads,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Thornyheads,Brookings and Crescent City,Trawl,551104.4529,442183.6272,305892,416330.9437,431504.258,499609
Thornyheads,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Thornyheads,Coos Bay,Trawl,-999,868649.3926,442318.3959,388659,396855.9106,-999
Thornyheads,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Thornyheads,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Thornyheads,Fort Bragg,Trawl,423760,579475.94,441293.5098,426010.2932,614711.2537,544476.56
Thornyheads,Monterey and Morro Bay,Fixed gear,1919,26319.8504,41119,2886.7,12109.4,9121
Thornyheads,Monterey and Morro Bay,Trawl,141354,-999,308309.1208,452483.2697,303470,252595.23
Thornyheads,Newport,Fixed gear,0,0,-999,-999,368,-999
Thornyheads,Newport,Trawl,-999,-999,-999,-999,264577.901,256236.9273
Thornyheads,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,0
Thornyheads,San Francisco and Bodega Bay,Trawl,134500,65366,36230,-999,-999,-999
Thornyheads,Washington,Fixed gear,0,0,-999,17043.56,-999,-999
Thornyheads,Washington,Trawl,242245.4988,156740.5997,-999,192344.6538,153237.5863,-999
