West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,
Length Composition Estimates,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,
Extracted: 2/17/2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Species Code,Scientific Name,Species,Survey Year,Project,Area Set Identifier,Area Name,Depth Strata Set,Minimum Stratum Depth (m),Maximum Stratum Depth (m),Length Category (cm),Number of Females,Number of Males,Number of Unsexed,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,57,18952,0,17037,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,58,9187,26857,38605,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,59,17448,35478,21560,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,60,38025,9402,9187,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,61,33062,0,18375,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,62,52872,8261,32340,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,63,8128,0,6265,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,64,16255,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,65,16807,0,6265,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,66,12449,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,68,24516,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,69,0,8128,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,72,8128,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,73,17663,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,74,8128,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,77,0,0,6265,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,82,10489,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,24,0,17325,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,25,0,23100,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,26,0,23100,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,27,0,57751,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,28,0,80851,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,29,0,63526,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,30,0,92401,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,31,0,86626,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,32,0,57751,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,33,0,46200,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,35,0,5775,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,43,0,0,5592,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,44,0,5765,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,45,0,12868,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,46,5765,6630,11792,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,47,21607,32005,18065,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,48,14709,33261,34489,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,49,17693,21976,34317,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,50,66819,45157,51449,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,51,13854,29118,67875,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,52,51722,19633,63856,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,53,45099,43796,17366,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,54,48854,11735,17455,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,55,37201,26988,23573,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,56,41895,25295,39811,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,57,31973,12052,30176,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,58,14961,12905,18311,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,59,32129,14488,23446,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,60,32373,0,5890,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,61,0,12642,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,62,32481,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,63,0,0,5890,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,64,5765,0,6151,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,65,33797,6605,6006,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,66,13926,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,68,7607,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,69,14098,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,70,6605,0,5470,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,73,6491,0,6151,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,77,5561,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,182.88,548.64,83,6605,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,44,0,10136,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,47,0,10111,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,48,29444,23805,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,49,22044,41746,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,50,10952,80836,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,51,10304,50591,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,52,19444,133706,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,53,30346,100339,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,54,36077,113065,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,55,0,95501,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,56,72163,79178,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,57,50507,64946,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,55 183 549 900 1280 meter bounds,548.64,900,58,39661,60435,0,
